ID,transaction_id,Category_Code,Unit_Code,Project_Code,transaction_date,customer_id
1246,1000002212,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1247,1000002212,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1248,1000002218,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1249,1000002224,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1250,1000002224,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1251,1000002230,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1252,1000002227,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1253,1000002235,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1254,1000002235,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1255,1000002237,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1256,1000002240,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1257,1000002231,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1258,1000002231,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1259,1000002250,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1260,1000002252,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1261,1000002253,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1262,1000002264,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1263,1000002264,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1264,1000002264,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1265,1000002263,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1266,1000002263,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1267,1000002263,Crab & Crack,BU-fca786ffced3,,2026-04-26,3
1268,1000002258,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1269,1000002266,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1270,1000002266,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1271,1000002268,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1272,1000002269,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1273,1000002270,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1274,1000002272,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1275,1000002279,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1276,1000002278,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1277,1000002278,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1278,1000002275,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1279,1000002275,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1280,1000002277,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1281,1000002287,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1282,1000002287,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1283,1000002292,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1284,1000002288,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1285,1000002288,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1286,1000002293,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1287,1000002302,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1288,1000002302,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
1289,1000002305,Crab & Crack,BU-fca786ffced3,,2026-04-26,1
1290,1000002305,Crab & Crack,BU-fca786ffced3,,2026-04-26,2
